Config CF left-base;Confluence left-base;Config CF right-base;Confluence right-base;Config OA;OA;Config DFP left;DFP left;Config DFP right;DFP right;Config PDG left;PDG left;Config PDG right;PDG right
"1.40400
";"0.29000
";"0.59800
";"0.00800
";"1.62800
";"1.71000
";"1.39000
";"0.27700
";"0.94800
";"0.26300
";"1.23600
";"0.35400
";"1.40000
";"0.30500
"
"1.40000
";"0.28600
";"0.82400
";"0.01100
";"1.46000
";"1.53000
";"1.41200
";"0.28500
";"1.39200
";"0.27000
";"1.39500
";"0.29200
";"1.41300
";"0.33300
"
"0.97500
";"0.87400
";"0.36300
";"0.26700
";"1.01400
";"1.17800
";"0.97400
";"0.80300
";"0.98500
";"0.74500
";"0.97400
";"1.00800
";"0.97900
";"1.02000
"
"1.14000
";"1.77900
";"0.59900
";"0.23700
";"1.18100
";"1.35300
";"1.25700
";"1.42600
";"1.14900
";"0.87700
";"1.10300
";"0.94700
";"1.11200
";"1.01800
"
"1.67900
";"0.67100
";"0.59800
";"0.12600
";"1.69500
";"1.78700
";"1.62400
";"0.74500
";"1.66800
";"0.76000
";"1.67600
";"0.88200
";"1.67200
";"0.81900
"
"0.94200
";"0.87800
";"0.33000
";"0.13000
";"0.95900
";"1.11300
";"0.93300
";"0.74200
";"0.92400
";"0.72900
";"0.92400
";"0.67800
";"0.91700
";"0.67000
"
"0.84800
";"0.58700
";"0.29300
";"0.03700
";"0.88600
";"0.97600
";"0.85000
";"0.60400
";"0.85200
";"0.61200
";"0.84800
";"0.67400
";"0.85100
";"0.72000
"
"0.95200
";"0.79800
";"0.31600
";"0.00600
";"0.99600
";"1.09900
";"0.95800
";"0.51800
";"0.94900
";"0.23100
";"0.94800
";"0.56100
";"0.94500
";"0.24200
"
"0.88800
";"0.71000
";"0.29000
";"0.00600
";"0.93200
";"1.05400
";"0.89500
";"0.48800
";"0.88800
";"0.21500
";"0.88500
";"0.54300
";"0.88800
";"0.22700
"
"0.99900
";"1.17400
";"0.33000
";"0.00600
";"0.92600
";"1.01100
";"0.89700
";"0.71900
";"0.90400
";"0.19200
";"0.88000
";"0.61100
";"0.89700
";"0.22800
"
"0.94200
";"0.69400
";"0.31100
";"0.05700
";"1.00000
";"1.09700
";"0.94400
";"0.60900
";"0.98500
";"0.59200
";"0.94200
";"0.71000
";"0.93400
";"0.74200
"
"1.03600
";"0.50000
";"0.44400
";"0.04800
";"1.08700
";"1.18500
";"1.02800
";"0.47300
";"1.03100
";"0.41000
";"1.03400
";"0.58200
";"1.02500
";"0.52300
"
"1.09900
";"4.24600
";"0.30800
";"3.50500
";"1.15500
";"1.43800
";"1.10000
";"3.29900
";"1.09500
";"3.75700
";"1.09100
";"1.09300
";"1.09800
";"1.09400
"
"1.09000
";"0.69800
";"0.38500
";"0.12300
";"1.11300
";"1.22500
";"1.07800
";"0.63800
";"1.07200
";"0.64500
";"1.07800
";"0.66900
";"1.09900
";"0.68900
"
"1.10600
";"3.33800
";"0.23700
";"1.70000
";"1.06700
";"1.30500
";"0.77100
";"1.78400
";"1.03300
";"2.59500
";"1.03100
";"1.15600
";"1.02200
";"1.17100
"
"0.87000
";"1.53600
";"0.32600
";"0.64800
";"0.89900
";"1.22300
";"0.86500
";"1.19000
";"0.86800
";"1.15500
";"0.85200
";"0.79300
";"0.90100
";"0.85200
"
"0.98400
";"1.02900
";"0.35500
";"0.27000
";"1.01900
";"1.22600
";"0.98200
";"0.81600
";"0.97100
";"0.81200
";"0.98400
";"0.75200
";"1.07100
";"0.78100
"
"0.99700
";"0.98200
";"0.35000
";"0.22900
";"1.01900
";"1.19900
";"0.98600
";"0.78700
";"0.98700
";"0.79000
";"0.98200
";"0.77800
";"0.98200
";"0.73900
"
