Config CF left-base;Confluence left-base;Config CF right-base;Confluence right-base;Config OA;OA;Config DFP left;DFP left;Config DFP right;DFP right;Config PDG left;PDG left;Config PDG right;PDG right
"1.47600
";"0.31700
";"0.92700
";"0.01100
";"1.56200
";"1.63800
";"1.50600
";"0.32800
";"1.51000
";"0.31800
";"1.49900
";"0.33300
";"1.50500
";"0.35000
"
"1.48700
";"0.33200
";"0.73000
";"0.01000
";"1.56200
";"1.63800
";"1.49300
";"0.30200
";"1.50100
";"0.31100
";"1.49600
";"0.35200
";"1.47300
";"0.36400
"
"1.09700
";"1.03200
";"0.37800
";"0.30300
";"1.16500
";"1.37900
";"1.09300
";"0.88800
";"1.07600
";"0.89300
";"1.08900
";"1.18100
";"1.08700
";"1.26000
"
"1.26800
";"2.00300
";"0.62700
";"0.26300
";"1.30200
";"1.50200
";"1.25400
";"1.44900
";"1.24600
";"1.02300
";"1.18900
";"1.16200
";"1.20000
";"1.19400
"
"1.75200
";"0.93800
";"0.86200
";"0.19900
";"1.87700
";"1.98000
";"1.80100
";"0.66600
";"1.76700
";"0.90500
";"1.73700
";"1.06300
";"1.74300
";"1.01600
"
"1.02700
";"1.07300
";"0.34700
";"0.15100
";"1.08700
";"1.28500
";"1.03900
";"0.91700
";"1.06300
";"0.89500
";"1.00300
";"0.83800
";"1.01800
";"0.82300
"
"0.95100
";"0.68900
";"0.31600
";"0.05100
";"0.98900
";"1.08300
";"0.92900
";"0.72400
";"0.92900
";"0.76000
";"0.92300
";"0.81100
";"0.93600
";"0.90200
"
"1.07300
";"0.74200
";"0.33200
";"0.00600
";"1.15200
";"1.26700
";"1.09800
";"0.62700
";"1.10500
";"0.24300
";"1.09000
";"0.51600
";"1.07100
";"0.12300
"
"1.01700
";"0.86000
";"0.30500
";"0.00600
";"1.05700
";"1.20700
";"1.01500
";"0.62900
";"0.99700
";"0.25300
";"1.01800
";"0.66200
";"1.01200
";"0.27900
"
"1.03000
";"1.39300
";"0.34700
";"0.00700
";"1.07600
";"1.17100
";"1.02700
";"0.87200
";"1.03600
";"0.26900
";"1.00200
";"0.68400
";"0.99800
";"0.29000
"
"1.06900
";"0.85300
";"0.44700
";"0.08700
";"1.14100
";"1.25000
";"1.07600
";"0.69300
";"1.07200
";"0.71200
";"1.08400
";"0.86600
";"1.08100
";"0.88600
"
"1.17500
";"0.59600
";"0.46100
";"0.06500
";"1.24600
";"1.35600
";"1.19700
";"0.58000
";"1.18300
";"0.54100
";"1.16600
";"0.70500
";"1.16300
";"0.65400
"
"1.26100
";"4.82800
";"0.32200
";"3.47700
";"1.20900
";"1.52800
";"1.24200
";"3.94100
";"1.26000
";"3.91000
";"1.24900
";"1.30400
";"1.25000
";"1.31100
"
"1.22900
";"0.86900
";"0.39600
";"0.15500
";"1.30600
";"1.45000
";"1.23000
";"0.79200
";"1.26200
";"0.75200
";"1.24300
";"0.79600
";"1.22900
";"0.80500
"
"1.16800
";"3.87600
";"0.34000
";"1.96500
";"1.12600
";"1.37500
";"1.13500
";"2.68800
";"1.17100
";"2.76900
";"1.15700
";"1.35400
";"1.17600
";"1.42000
"
"0.96800
";"1.79700
";"0.34900
";"0.68400
";"1.03300
";"1.44500
";"0.97500
";"1.46800
";"0.95900
";"1.36500
";"0.95300
";"1.02400
";"0.95500
";"1.02300
"
"1.13600
";"1.27100
";"0.38300
";"0.29100
";"1.19300
";"1.45700
";"1.15000
";"1.02700
";"1.12700
";"0.97000
";"1.11300
";"0.95700
";"1.10800
";"0.92500
"
"1.11900
";"1.21000
";"0.42700
";"0.34300
";"1.17700
";"1.40000
";"1.13000
";"0.98300
";"1.14700
";"0.95700
";"1.11600
";"0.92200
";"1.13300
";"0.95700
"
"0.94300
";"1.73300
";"0.31800
";"0.69400
";"1.01600
";"1.20100
";"0.93200
";"1.26400
";"0.94000
";"1.24300
";"0.94000
";"0.99300
";"0.95500
";"0.95200
"
"1.64800
";"6.10300
";"0.49800
";"2.70400
";"1.69000
";"1.97600
";"1.63200
";"3.72600
";"1.63200
";"3.64600
";"1.58600
";"1.24400
";"1.59900
";"1.28600
"
"1.73100
";"8.91800
";"0.51200
";"3.42400
";"1.69500
";"2.24500
";"1.68300
";"5.84900
";"1.58400
";"4.11000
";"1.56800
";"1.45100
";"1.55600
";"1.59900
"
"2.01600
";"1.75700
";"1.41000
";"0.53400
";"2.06600
";"2.18500
";"2.01300
";"1.36800
";"2.02900
";"1.44700
";"1.97600
";"0.92000
";"2.00500
";"0.95800
"
"0.99500
";"0.93700
";"0.34400
";"0.17900
";"1.07800
";"1.41400
";"0.99700
";"0.86500
";"0.99900
";"0.84800
";"0.98500
";"1.01300
";"0.98400
";"1.00800
"
"1.16400
";"0.27800
";"0.50300
";"1.48300
";"1.23500
";"1.31700
";"1.15300
";"0.28300
";"1.17100
";"1.21600
";"1.14200
";"0.29300
";"1.18700
";"1.10400
"
"1.22300
";"0.96600
";"0.42800
";"0.10300
";"1.27900
";"1.39800
";"1.20000
";"0.90600
";"1.21300
";"0.86400
";"1.18500
";"1.02700
";"1.19000
";"1.00800
"
"1.07300
";"1.12800
";"0.33900
";"0.11900
";"1.07400
";"1.17400
";"1.06500
";"1.00800
";"1.03400
";"0.93900
";"1.03300
";"0.62400
";"1.03600
";"0.70100
"
"1.07700
";"1.30200
";"0.37800
";"0.12900
";"1.09400
";"1.24700
";"1.06800
";"1.14100
";"1.05100
";"0.96000
";"1.01400
";"0.71600
";"1.01600
";"0.66900
"
"0.91400
";"1.29200
";"0.29700
";"0.40300
";"0.97200
";"1.26600
";"0.91800
";"1.10200
";"0.90900
";"1.10200
";"0.89400
";"1.00600
";"0.89300
";"1.00000
"
"1.11400
";"1.14900
";"0.36000
";"0.19300
";"1.17700
";"1.38200
";"1.11900
";"0.97100
";"1.08500
";"1.01000
";"1.10500
";"1.26800
";"1.09700
";"1.23300
"
"0.91500
";"2.37500
";"0.24600
";"0.64000
";"0.95800
";"1.04600
";"0.92000
";"1.33600
";"0.91100
";"1.27000
";"0.88800
";"0.62700
";"0.92500
";"0.59100
"
"0.89100
";"0.81800
";"0.27100
";"0.07000
";"0.94300
";"1.07500
";"0.89200
";"0.66200
";"0.88900
";"0.72700
";"0.87700
";"0.80300
";"0.88400
";"0.83800
"
"3.80800
";"7.70400
";"2.07700
";"2.13000
";"2.80400
";"3.30200
";"3.27600
";"3.35500
";"3.39000
";"3.30500
";"3.40800
";"1.15400
";"2.75700
";"1.20200
"
"0.81500
";"1.18100
";"0.46800
";"0.40700
";"0.83800
";"0.93700
";"0.83900
";"0.69900
";"1.18100
";"1.12600
";"1.15200
";"0.93000
";"1.14000
";"0.98700
"
"2.03200
";"5.23500
";"0.80000
";"2.48100
";"2.08200
";"3.14700
";"1.45300
";"4.04200
";"2.06400
";"4.04600
";"2.01800
";"1.87000
";"2.04000
";"1.90100
"
"1.08100
";"1.87300
";"0.40700
";"0.79400
";"1.13000
";"1.33600
";"1.07800
";"1.43200
";"1.09500
";"1.38900
";"1.06200
";"0.94600
";"1.07600
";"0.92900
"
"1.08500
";"4.18300
";"0.32100
";"2.31600
";"0.73300
";"0.94700
";"1.03700
";"3.07300
";"0.72400
";"3.13200
";"1.06800
";"1.21300
";"1.06200
";"1.21900
"
"1.99300
";"67.54000
";"0.53200
";"1.19300
";"1.49700
";"1.85800
";"1.92900
";"26.22700
";"1.79200
";"1.96900
";"1.48300
";"1.07400
";"1.42500
";"0.99400
"
"2.47600
";"17.76000
";"0.71600
";"194.96000
";"2.02700
";"4.04200
";"2.33200
";"16.41400
";"2.47000
";"73.09400
";"1.93900
";"2.65300
";"1.97300
";"2.81500
"
"1.98800
";"9.29900
";"0.61400
";"6.18600
";"1.99100
";"2.24400
";"1.79700
";"4.68700
";"1.34800
";"4.73100
";"2.03600
";"4.05400
";"1.80500
";"3.19200
"
"1.02100
";"1.85700
";"0.41400
";"0.87900
";"1.11500
";"1.27100
";"1.06100
";"1.43700
";"1.06600
";"1.39200
";"1.06500
";"0.78500
";"1.06700
";"0.84100
"
"0.94500
";"0.73100
";"0.29500
";"0.15900
";"1.02400
";"1.14500
";"0.92300
";"0.67600
";"0.95500
";"0.68200
";"0.94200
";"0.86500
";"0.92800
";"0.86100
"
"1.25700
";"1.36500
";"0.52100
";"0.25000
";"1.25300
";"1.47000
";"1.21000
";"1.20400
";"1.20900
";"1.08800
";"1.16300
";"0.93600
";"1.16400
";"0.85700
"
"1.07200
";"0.71200
";"0.44900
";"0.05300
";"1.13100
";"1.23300
";"1.07900
";"0.61000
";"1.08500
";"0.60400
";"1.08400
";"0.67700
";"1.10700
";"0.68400
"
"1.18100
";"5.67700
";"0.23900
";"3.10100
";"0.82600
";"1.04500
";"1.14200
";"4.56500
";"1.18200
";"4.64300
";"1.17300
";"3.80400
";"1.19700
";"3.79900
"
