Project Name,Merge Scenarios (MS)
jcabi/jcabi-aspects,58
threerings/getdown,28
aled/jsi,4
sanity/tahrir,20
rest-driver/rest-driver,43
helun/Ektorp,86
apache/pdfbox,1
xetorthio/jedis,251
apache/storm,2332
swagger-api/swagger-core,873
eclipse/che,1189
square/wire,507
jwtk/jjwt,97
l0rdn1kk0n/wicket-bootstrap,338
torodb/stampede,407
chanjarster/weixin-java-tools,64
poetix/protonpack,20
mybatis/jpetstore-6,70
mybatis/generator,163
ralfstx/minimal-json,7
brianm/really-executable-jars-maven-plugin,3
jOOQ/jOOU,6
FasterXML/jackson-dataformat-yaml,30
bkiers/Liqp,57
threerings/tripleplay,6
livingsocial/HiveSwarm,5
zeroturnaround/zt-zip,30
CloudifySource/cloudify,225
perwendel/spark,228
jbehave/jbehave-core,4
webbit/webbit,9
qos-ch/slf4j,48
magro/kryo-serializers,28
opensagres/xdocreport,65
Asquera/elasticsearch-http-basic,12
maxmind/geoip-api-java,17
dain/leveldb,2
woorea/openstack-java-sdk,76
caskdata/tephra,94
square/burst,18
spring-cloud/spring-cloud-config,160
sd4324530/fastweixin,54
iluwatar/java-design-patterns,371
xerial/sqlite-jdbc,111
notnoop/java-apns,42
gwtbootstrap/gwt-bootstrap,95
super-csv/super-csv,30
pac4j/play-pac4j,95
asciidocfx/AsciidocFX,161
apache/drill,58
dkunzler/esperandro,16
trautonen/coveralls-maven-plugin,24
nurkiewicz/spring-data-jdbc-repository,6
dianping/cat,1293
datastax/java-driver,432
paulhoule/infovore,24
Comcast/cmb,4
klout/brickhouse,9
androrm/androrm,3
Comcast/jrugged,23
yammer/tenacity,52
google/jimfs,12
protostuff/protostuff,106
adyliu/jafka,3
ocpsoft/rewrite,28
tinkerpop/blueprints,142
searchbox-io/Jest,199
palantir/eclipse-typescript,32
nurkiewicz/async-retry,3
easymock/objenesis,9
graphaware/neo4j-framework,100
OpenSextant/SolrTextTagger,15
sps/mustache-spring-view,3
hdiv/hdiv,79
jhalterman/concurrentunit,2
xebia/Xebium,31
buddycloud/buddycloud-server-java,192
