mean,median,stardard deviation
0.88,1.09,0.59
0.88,1.07,0.6
0.86,0.98,0.26
1.07,1.12,0.35
1.2,1.28,0.54
0.78,0.88,0.26
0.69,0.79,0.26
0.66,0.84,0.37
0.64,0.79,0.33
0.7,0.88,0.37
0.75,0.83,0.29
0.75,0.81,0.35
1.96,1.28,1.35
0.93,0.96,0.38
1.54,1.13,0.9
0.93,0.86,0.29
0.86,0.98,0.26
0.96,1.03,0.31
1.01,0.95,0.32
1.96,1.56,1.34
2.38,1.49,2.01
1.32,1.37,0.53
0.89,0.97,0.3
0.96,1.15,0.42
0.97,1.01,0.34
0.82,0.93,0.29
0.78,0.9,0.27
0.79,0.82,0.22
0.94,1.02,0.32
0.93,0.87,0.49
0.66,0.73,0.25
3.15,3.18,1.33
0.95,1.07,0.23
2.24,1.91,1.1
0.97,0.96,0.29
1.53,0.99,1.09
7.45,1.39,17.64
23.82,1.99,55.06
3.29,1.95,2.12
0.96,0.93,0.31
0.69,0.77,0.24
0.93,1.06,0.28
0.74,0.79,0.33
2.16,1.23,1.55
0.94,1.07,0.28
2.12,1.25,1.47
1.36,1.02,0.75
1.68,1.1,1.17
2.24,1.05,2.33
0.88,0.96,0.31
1.03,1.06,0.24
0.91,1.0,0.25
0.87,0.97,0.3
1.02,1.05,0.23
0.82,0.89,0.29
0.97,1.05,0.39
0.69,0.76,0.26
0.76,0.89,0.25
0.72,0.8,0.26
0.78,0.84,0.27
0.72,0.78,0.25
0.67,0.88,0.3
0.67,0.81,0.3
0.74,0.88,0.37
3.02,4.31,2.47
3.89,4.88,2.05
2.12,2.25,0.82
5.79,5.42,2.13
10.32,5.59,9.5
3.78,4.5,2.14
3.83,4.43,1.88
2.25,2.28,1.39
8.17,5.94,6.05
3.81,5.4,2.69
3.5,4.46,2.41
3.38,4.33,2.36
100.68,6.24,191.39
7.66,5.0,9.72
3.48,4.38,2.35
3.59,4.54,2.34
3.94,4.57,2.65
3.61,4.57,2.4
3.28,4.45,2.72
0.93,1.06,0.36
3.54,5.05,2.62
3.77,4.87,2.55
1.87,2.02,0.97
4.12,4.58,1.96
4.28,4.54,2.08
0.86,0.93,0.25
1.88,2.16,1.18
0.86,0.93,0.34
1.34,1.46,0.57
0.69,0.76,0.28
0.6,0.61,0.38
1.0,1.08,0.41
1.46,1.41,0.52
1.31,1.22,0.43
1.29,1.21,0.41
0.9,1.12,0.4
1.0,1.1,0.35
0.65,0.82,0.33
