mean,median,stardard deviation
0.95,1.16,0.63
0.94,1.11,0.63
1.0,1.1,0.3
1.2,1.24,0.4
1.32,1.39,0.55
0.9,1.03,0.3
0.79,0.91,0.28
0.77,0.98,0.43
0.74,0.93,0.38
0.8,1.0,0.41
0.88,0.98,0.33
0.85,0.93,0.39
1.92,1.29,1.3
0.96,1.05,0.37
1.68,1.31,0.93
1.06,0.99,0.35
1.0,1.12,0.31
0.99,1.11,0.31
1.02,0.95,0.32
2.08,1.63,1.41
2.55,1.69,2.18
1.52,1.57,0.53
0.9,0.99,0.3
0.97,1.16,0.43
1.0,1.1,0.34
0.89,1.04,0.32
0.92,1.04,0.33
0.93,0.96,0.28
1.01,1.1,0.32
0.97,0.92,0.48
0.76,0.87,0.27
3.45,3.39,1.66
1.06,1.15,0.27
2.44,2.04,1.13
1.12,1.08,0.34
1.66,1.09,1.16
8.0,1.59,18.34
24.7,2.43,56.31
3.35,2.3,2.26
0.9,0.8,0.32
0.8,0.9,0.27
1.07,1.19,0.33
0.83,0.89,0.35
2.28,1.2,1.77
1.07,1.22,0.32
2.35,1.4,1.67
1.53,1.16,0.89
1.87,1.12,1.35
2.49,1.18,2.64
1.02,1.12,0.37
1.17,1.16,0.29
1.04,1.11,0.29
1.01,1.14,0.34
1.17,1.18,0.28
0.94,1.03,0.3
1.15,1.27,0.41
0.8,0.89,0.28
0.89,0.99,0.29
0.83,0.92,0.29
0.84,0.93,0.28
0.82,0.9,0.27
0.76,0.97,0.33
0.76,0.94,0.34
0.79,1.03,0.4
3.26,4.73,2.67
3.78,4.64,2.02
2.34,2.49,0.77
5.99,5.89,2.18
10.53,5.89,9.8
3.89,5.04,2.13
3.85,4.51,1.93
2.37,2.38,1.44
8.2,5.7,6.16
3.36,4.71,2.23
3.38,4.34,2.24
3.31,4.4,2.29
99.59,6.16,188.27
7.86,5.42,9.86
3.51,4.62,2.33
3.62,4.6,2.41
3.87,4.85,2.48
3.49,4.55,2.33
3.5,4.67,2.84
1.01,1.08,0.35
3.54,4.91,2.74
3.85,5.16,2.54
1.98,2.11,0.92
4.26,4.75,2.03
4.31,5.07,2.14
0.87,0.93,0.25
2.1,2.48,1.31
0.87,0.94,0.36
1.32,1.48,0.6
0.69,0.77,0.27
0.6,0.61,0.38
1.0,1.08,0.41
1.48,1.41,0.54
1.31,1.23,0.44
1.28,1.21,0.41
0.91,1.15,0.41
1.0,1.08,0.35
0.65,0.82,0.33
