mean,median,stardard deviation
0.88,0.94,0.6
0.93,1.1,0.62
0.99,1.08,0.3
1.2,1.24,0.39
1.32,1.39,0.53
0.9,1.01,0.31
0.78,0.9,0.28
0.77,1.02,0.43
0.74,0.92,0.39
0.79,1.0,0.41
0.87,0.97,0.32
0.84,0.92,0.38
1.98,1.24,1.5
0.96,1.03,0.37
1.62,1.26,0.91
1.05,0.98,0.35
1.0,1.11,0.31
0.98,1.11,0.31
1.01,0.97,0.31
2.18,1.62,1.4
2.47,1.68,2.06
1.45,1.54,0.52
0.89,0.97,0.3
0.95,1.14,0.42
0.99,1.09,0.33
0.88,1.03,0.31
0.91,1.04,0.33
0.91,0.93,0.27
0.99,1.08,0.32
0.96,0.9,0.47
0.76,0.84,0.25
3.34,3.51,1.66
1.05,1.13,0.27
2.41,2.0,1.13
1.12,1.07,0.34
1.66,1.16,1.07
7.85,1.63,17.8
23.99,2.35,55.04
3.32,2.19,2.32
0.97,1.05,0.32
0.8,0.93,0.27
1.06,1.17,0.32
0.83,0.9,0.34
2.29,1.32,1.71
1.09,1.21,0.33
2.36,1.44,1.73
1.53,1.19,0.85
1.96,1.24,1.4
2.56,1.17,2.58
0.88,0.97,0.31
1.09,1.09,0.25
1.03,1.09,0.29
0.99,1.1,0.33
1.16,1.18,0.28
0.93,1.02,0.3
1.13,1.22,0.41
0.79,0.87,0.28
0.88,0.98,0.29
0.82,0.92,0.29
0.85,0.96,0.28
0.82,0.88,0.27
0.77,0.98,0.34
0.75,0.93,0.33
0.79,1.02,0.39
3.15,4.27,2.63
3.87,4.48,1.98
2.29,2.62,0.9
6.14,6.08,2.01
10.11,5.5,9.02
4.25,5.27,2.35
3.75,4.45,1.94
2.44,2.64,1.3
8.52,6.08,6.22
3.5,4.59,2.41
3.65,4.38,2.49
3.48,4.28,2.46
102.64,6.03,197.74
8.11,5.46,10.19
3.78,4.86,2.39
3.7,4.84,2.52
3.92,4.54,2.56
3.59,4.51,2.35
3.32,4.41,2.77
1.01,1.08,0.34
3.21,4.45,2.43
3.62,4.45,2.29
1.79,1.67,0.89
4.24,4.8,2.08
4.18,5.08,1.93
0.76,0.82,0.21
1.9,2.03,1.28
0.83,0.91,0.33
1.34,1.48,0.56
0.69,0.77,0.28
0.6,0.61,0.38
0.99,1.08,0.4
1.46,1.4,0.51
1.3,1.22,0.44
1.28,1.2,0.41
0.9,1.12,0.39
1.0,1.07,0.35
0.65,0.81,0.33
