mean,median,stardard deviation
0.94,1.11,0.63
0.94,1.1,0.63
1.01,1.1,0.29
1.2,1.23,0.41
1.31,1.4,0.56
0.9,1.02,0.31
0.79,0.9,0.28
0.77,1.0,0.42
0.75,0.93,0.39
0.8,1.0,0.41
0.87,0.98,0.33
0.85,0.93,0.39
2.04,1.28,1.44
0.96,1.03,0.37
1.62,1.26,0.89
1.05,0.99,0.35
1.01,1.12,0.32
0.99,1.13,0.31
1.03,0.97,0.3
1.93,1.59,1.28
2.65,1.62,2.34
1.61,1.84,0.52
0.91,0.99,0.3
0.96,1.15,0.42
1.0,1.09,0.35
0.9,1.04,0.32
0.92,1.04,0.33
0.92,0.94,0.28
1.01,1.1,0.33
0.99,0.92,0.49
0.76,0.85,0.27
3.18,3.47,1.35
1.05,1.16,0.26
2.54,2.07,1.15
1.11,1.08,0.34
1.67,1.15,1.11
7.9,1.6,18.02
24.48,2.29,55.44
3.32,2.02,2.48
1.09,1.07,0.35
0.79,0.9,0.27
1.07,1.19,0.33
0.83,0.89,0.35
2.38,1.29,1.82
0.95,0.98,0.31
2.49,1.35,1.82
1.41,1.14,0.87
1.96,1.28,1.43
2.57,1.17,2.63
1.03,1.13,0.36
1.17,1.16,0.27
1.04,1.12,0.3
1.01,1.13,0.33
1.17,1.18,0.28
0.93,1.02,0.3
1.13,1.22,0.42
0.79,0.87,0.28
0.89,0.99,0.29
0.82,0.92,0.29
0.85,0.94,0.28
0.82,0.89,0.27
0.77,0.97,0.33
0.77,0.93,0.35
0.79,1.04,0.39
3.16,4.71,2.55
3.71,4.32,1.92
2.22,2.3,0.87
6.42,6.08,2.42
10.18,5.58,9.49
3.71,4.52,2.13
3.8,4.48,1.77
2.36,2.72,1.44
8.34,5.94,6.36
3.43,4.58,2.36
3.33,4.3,2.2
3.47,4.77,2.42
103.59,6.27,195.79
7.74,5.17,10.08
3.55,4.75,2.21
3.75,4.57,2.52
3.68,4.52,2.47
3.66,4.88,2.42
3.27,4.36,2.61
1.02,1.09,0.33
3.18,4.44,2.36
3.6,4.46,2.36
1.9,2.01,1.01
4.52,4.98,2.15
4.17,4.97,1.98
0.86,0.93,0.25
2.01,2.33,1.23
0.86,0.94,0.34
1.32,1.44,0.57
0.69,0.76,0.27
0.59,0.61,0.38
1.0,1.07,0.41
1.47,1.4,0.52
1.31,1.24,0.44
1.27,1.2,0.4
0.9,1.14,0.4
1.03,1.1,0.33
0.65,0.81,0.33
