mean,median,stardard deviation
0.94,1.12,0.63
0.93,1.11,0.63
0.99,1.09,0.3
1.21,1.24,0.41
1.33,1.44,0.53
0.9,1.04,0.3
0.79,0.9,0.28
0.75,0.91,0.44
0.74,0.94,0.38
0.8,1.02,0.42
0.87,0.96,0.33
0.85,0.92,0.39
1.95,1.28,1.43
0.96,1.03,0.37
1.64,1.27,0.9
1.06,0.99,0.36
1.0,1.12,0.31
0.99,1.13,0.32
1.01,0.96,0.32
2.09,1.61,1.55
2.49,1.67,1.8
1.62,1.85,0.52
0.89,0.96,0.3
0.95,1.15,0.42
1.01,1.11,0.35
0.89,1.03,0.32
0.92,1.05,0.32
0.93,0.94,0.28
1.0,1.09,0.32
0.98,0.92,0.48
0.76,0.85,0.27
2.96,3.04,1.26
1.06,1.16,0.27
2.58,2.09,1.17
1.11,1.07,0.34
1.67,1.17,1.07
8.03,1.71,18.05
24.36,2.42,54.76
3.32,2.25,2.26
1.05,1.05,0.34
0.79,0.91,0.28
1.07,1.18,0.34
0.83,0.89,0.35
2.52,1.37,1.84
1.09,1.23,0.33
2.37,1.36,1.64
1.55,1.17,0.87
1.87,1.27,1.3
2.34,1.16,2.48
1.03,1.14,0.37
1.17,1.16,0.28
1.04,1.11,0.29
1.01,1.13,0.34
1.17,1.18,0.28
0.93,1.01,0.3
1.14,1.23,0.41
0.8,0.87,0.27
0.89,1.0,0.29
0.83,0.93,0.29
0.85,0.93,0.28
0.83,0.9,0.27
0.76,0.97,0.33
0.76,0.94,0.34
0.79,1.01,0.4
3.34,4.77,2.77
3.55,4.36,1.79
2.23,2.13,0.82
6.4,5.86,2.37
9.92,5.35,8.95
4.04,4.55,2.36
4.11,4.9,2.05
2.46,2.48,1.42
8.78,6.4,6.55
3.51,5.03,2.39
3.48,4.74,2.15
3.61,5.18,2.42
101.91,6.1,195.95
8.03,5.54,9.76
3.61,4.79,2.3
3.48,4.56,2.24
3.9,4.49,2.49
3.74,4.89,2.48
3.13,4.41,2.56
1.02,1.09,0.34
3.47,4.95,2.56
3.62,4.94,2.38
2.04,2.31,1.0
4.22,5.18,2.01
4.36,5.37,2.04
0.87,0.92,0.25
1.92,2.13,1.2
0.86,0.94,0.34
1.34,1.47,0.57
0.69,0.76,0.27
0.6,0.61,0.38
1.0,1.08,0.41
1.47,1.39,0.55
1.32,1.23,0.44
1.28,1.22,0.4
0.91,1.14,0.4
1.01,1.09,0.34
0.66,0.82,0.32
