mean,median,stardard deviation
1.1,1.31,0.77
1.06,1.24,0.7
33.66,46.46,17.94
1.12,1.35,0.41
1.5,1.62,0.59
1.03,1.16,0.35
0.89,1.04,0.32
0.87,1.13,0.47
0.83,1.06,0.43
0.92,1.13,0.48
0.99,1.12,0.37
0.97,1.03,0.46
2.24,1.44,1.55
1.07,1.17,0.44
1.9,1.5,1.0
1.21,1.14,0.41
1.14,1.25,0.36
1.13,1.24,0.37
1.14,1.08,0.36
2.17,1.79,1.41
2.98,1.92,2.34
1.79,2.07,0.57
1.02,1.12,0.34
1.1,1.31,0.49
1.15,1.25,0.4
1.01,1.16,0.37
1.04,1.18,0.38
1.05,1.06,0.31
1.13,1.23,0.37
1.09,1.04,0.54
16.18,19.87,6.73
3.38,3.47,1.22
1.09,1.24,0.39
2.53,2.15,1.35
1.25,1.22,0.38
1.65,1.23,1.17
21.72,18.38,23.4
23.44,2.8,52.38
3.38,2.19,2.48
1.13,1.13,0.4
0.91,1.01,0.31
1.2,1.34,0.38
0.95,1.02,0.39
2.85,1.53,2.1
1.23,1.37,0.36
2.59,1.45,1.87
1.79,1.33,1.0
2.03,1.29,1.49
2.69,1.34,2.97
1.17,1.3,0.42
1.3,1.32,0.32
1.17,1.25,0.34
1.14,1.29,0.38
1.33,1.35,0.33
1.05,1.16,0.35
1.28,1.4,0.47
0.89,0.99,0.32
1.0,1.13,0.33
0.94,1.04,0.33
0.94,1.04,0.32
0.93,1.03,0.3
0.86,1.1,0.38
0.87,1.05,0.38
0.9,1.17,0.45
3.32,4.78,2.73
4.08,4.7,2.32
2.25,2.21,0.95
6.35,6.04,2.46
10.44,6.16,8.86
4.58,5.72,2.82
4.52,5.32,2.43
2.73,3.16,1.59
8.54,5.73,6.42
3.52,4.71,2.3
3.71,4.7,2.47
3.58,4.65,2.39
104.42,6.36,200.18
8.12,5.61,10.32
3.61,4.39,2.39
3.64,4.56,2.42
3.81,4.57,2.43
3.57,4.53,2.36
3.41,5.03,2.8
1.13,1.22,0.38
3.48,4.48,2.48
3.94,5.21,2.68
1.83,1.67,1.14
4.44,4.57,1.93
4.21,4.66,1.98
0.98,1.03,0.29
2.03,2.47,1.24
0.94,1.05,0.38
1.43,1.56,0.62
0.78,0.86,0.31
0.69,0.71,0.45
1.12,1.24,0.45
1.63,1.58,0.54
1.46,1.39,0.46
1.44,1.4,0.44
1.01,1.26,0.45
1.15,1.22,0.43
0.74,0.92,0.37
