mean,median,stardard deviation
1.02,1.06,0.72
1.06,1.29,0.69
34.24,46.29,17.24
1.32,1.34,0.45
1.48,1.58,0.59
1.01,1.14,0.34
0.89,1.01,0.32
0.86,1.12,0.49
0.84,1.05,0.43
0.91,1.14,0.47
0.99,1.12,0.37
0.96,1.06,0.43
2.34,1.48,1.59
1.07,1.16,0.43
1.9,1.47,1.03
1.21,1.13,0.41
1.15,1.27,0.36
1.12,1.26,0.36
1.15,1.09,0.36
2.04,1.75,1.36
3.0,1.9,2.3
1.73,1.8,0.56
1.04,1.12,0.36
1.09,1.31,0.47
1.13,1.24,0.39
1.01,1.16,0.36
1.04,1.17,0.38
1.05,1.08,0.31
1.15,1.24,0.37
1.09,1.01,0.54
16.71,19.86,6.1
3.53,3.47,1.9
1.21,1.29,0.3
2.79,2.26,1.26
1.26,1.23,0.39
1.77,1.21,1.25
20.8,17.98,22.86
24.65,2.57,56.09
3.58,2.46,2.33
1.23,1.21,0.38
0.9,1.01,0.31
1.2,1.32,0.37
0.96,1.1,0.39
2.9,1.53,2.07
1.22,1.37,0.37
2.43,1.4,1.88
1.76,1.35,0.96
2.13,1.46,1.49
2.83,1.34,3.03
1.17,1.28,0.4
1.33,1.31,0.33
1.19,1.26,0.33
1.13,1.28,0.38
1.31,1.35,0.31
1.07,1.17,0.35
1.28,1.37,0.48
0.9,0.98,0.33
1.01,1.12,0.33
0.94,1.05,0.33
0.95,1.04,0.32
0.93,1.02,0.31
0.87,1.08,0.38
0.86,1.06,0.39
0.9,1.17,0.45
3.57,5.37,2.92
3.85,4.69,1.99
2.2,2.13,0.77
6.49,6.13,2.92
10.01,5.23,9.59
4.26,4.88,2.41
4.33,5.55,2.31
2.76,3.14,1.53
8.44,5.96,6.29
3.36,4.34,2.41
3.46,4.68,2.15
3.58,4.73,2.57
101.38,6.12,196.26
7.84,5.44,9.8
3.57,4.63,2.29
3.79,4.53,2.67
3.85,4.64,2.42
3.5,4.52,2.29
3.07,4.39,2.49
1.02,1.18,0.41
3.67,5.04,2.78
3.33,4.43,2.16
2.02,1.81,1.1
4.35,4.9,2.12
4.22,4.86,2.07
1.0,1.04,0.26
2.07,2.13,1.28
0.93,0.88,0.39
1.41,1.46,0.63
0.78,0.88,0.31
0.67,0.68,0.43
1.11,1.21,0.45
1.63,1.58,0.54
1.46,1.4,0.47
1.43,1.35,0.46
1.03,1.3,0.45
1.14,1.26,0.38
0.74,0.91,0.38
