mean,median,stardard deviation
1.04,1.18,0.7
1.04,1.27,0.68
33.95,45.98,17.03
1.31,1.35,0.43
1.49,1.53,0.6
1.03,1.16,0.35
0.9,1.03,0.33
0.86,1.13,0.48
0.83,1.06,0.43
0.92,1.15,0.47
0.99,1.1,0.36
0.99,1.05,0.45
2.21,1.4,1.61
1.08,1.17,0.42
1.77,1.44,0.96
1.21,1.12,0.4
1.15,1.25,0.36
1.11,1.22,0.35
1.12,1.08,0.36
2.43,1.82,1.55
2.8,1.81,2.39
1.75,1.9,0.55
1.02,1.1,0.34
1.09,1.32,0.48
1.13,1.24,0.4
1.01,1.16,0.36
1.05,1.18,0.38
1.05,1.08,0.31
1.16,1.25,0.38
1.11,1.04,0.55
16.48,19.88,6.1
3.24,3.05,1.4
1.19,1.29,0.3
2.79,2.26,1.45
1.26,1.22,0.38
1.97,1.31,1.3
20.94,18.12,22.96
24.0,2.23,53.57
3.55,2.32,2.4
1.22,1.19,0.39
0.9,1.0,0.32
1.2,1.34,0.38
0.98,1.03,0.42
2.68,1.65,1.86
1.23,1.38,0.38
2.61,1.48,1.88
1.75,1.33,0.99
2.04,1.38,1.43
2.98,1.38,2.87
1.18,1.3,0.4
1.33,1.32,0.32
1.19,1.26,0.34
1.14,1.26,0.38
1.33,1.35,0.32
1.06,1.16,0.35
1.29,1.39,0.46
0.9,1.0,0.33
1.01,1.13,0.33
0.94,1.05,0.33
0.95,1.04,0.31
0.92,1.0,0.31
0.87,1.1,0.37
0.88,1.08,0.39
0.9,1.14,0.45
3.3,4.73,2.67
4.17,4.92,2.2
2.2,2.01,0.96
6.32,5.87,2.33
10.24,5.62,9.1
3.97,4.63,2.26
4.18,4.49,2.2
2.42,2.35,1.41
8.73,6.35,6.31
3.32,4.66,2.16
3.09,4.31,1.89
3.58,4.88,2.26
100.74,6.16,192.43
7.99,5.68,9.74
3.34,4.35,2.21
3.82,4.54,2.57
3.86,4.88,2.41
3.67,4.81,2.3
3.29,4.35,2.75
0.99,1.12,0.35
3.75,4.89,2.79
3.65,4.78,2.43
1.88,2.04,0.93
4.46,4.78,2.44
4.27,4.93,1.93
0.98,1.05,0.3
1.85,1.75,1.24
0.96,1.03,0.39
1.43,1.54,0.62
0.79,0.86,0.31
0.69,0.77,0.42
1.12,1.21,0.46
1.62,1.57,0.53
1.46,1.39,0.47
1.43,1.37,0.46
1.03,1.28,0.45
1.14,1.29,0.39
0.74,0.91,0.37
