mean,median,stardard deviation
1.04,1.2,0.7
1.05,1.21,0.71
34.75,46.94,17.26
1.22,1.34,0.4
1.42,1.5,0.6
1.02,1.15,0.35
0.9,1.02,0.33
0.86,1.12,0.49
0.84,1.03,0.43
0.92,1.14,0.47
0.99,1.12,0.38
0.97,1.04,0.44
2.21,1.42,1.68
1.09,1.18,0.44
1.88,1.48,0.99
1.2,1.14,0.39
1.14,1.27,0.35
1.13,1.25,0.36
1.13,1.08,0.36
2.26,1.72,1.6
3.05,1.86,2.41
1.81,2.06,0.59
1.02,1.11,0.34
1.1,1.31,0.48
1.12,1.23,0.4
1.01,1.15,0.36
1.05,1.2,0.38
1.05,1.06,0.32
1.14,1.24,0.37
1.09,1.03,0.52
16.5,20.1,6.36
3.28,3.43,1.66
1.2,1.31,0.31
2.6,2.3,1.38
1.26,1.21,0.37
1.86,1.31,1.2
20.71,17.79,23.25
24.12,2.89,53.87
3.57,2.41,2.58
1.08,1.04,0.41
0.9,1.0,0.31
1.2,1.33,0.37
0.96,1.03,0.4
2.62,1.43,1.94
1.23,1.39,0.38
2.72,1.6,1.88
1.49,1.24,0.98
2.17,1.47,1.52
3.02,1.39,2.92
1.15,1.28,0.41
1.32,1.33,0.32
1.18,1.26,0.34
1.15,1.3,0.39
1.31,1.34,0.31
1.06,1.16,0.34
1.29,1.39,0.48
0.9,0.98,0.32
1.0,1.12,0.32
0.94,1.04,0.33
0.95,1.04,0.32
0.93,1.0,0.31
0.86,1.09,0.36
0.88,1.07,0.4
0.9,1.16,0.45
3.35,4.78,2.76
4.16,4.53,2.08
2.34,2.27,0.73
6.12,6.34,2.18
9.97,5.64,8.87
4.12,5.11,2.29
4.11,4.77,2.23
2.19,2.17,1.27
8.64,6.5,6.1
3.61,4.33,2.51
3.76,4.78,2.2
3.87,5.26,2.68
101.24,6.19,195.16
7.98,5.61,10.04
3.78,5.01,2.53
3.94,4.63,2.63
3.89,4.56,2.41
3.92,5.16,2.51
3.34,4.41,2.78
1.11,1.2,0.35
3.49,4.54,2.54
3.71,4.5,2.35
2.18,2.42,1.08
4.27,4.75,2.11
4.57,4.83,2.1
0.98,1.05,0.28
2.22,2.76,1.3
0.97,1.05,0.4
1.44,1.52,0.6
0.78,0.86,0.31
0.68,0.69,0.42
1.13,1.21,0.46
1.63,1.56,0.55
1.47,1.39,0.46
1.43,1.37,0.44
1.04,1.28,0.46
1.14,1.24,0.42
0.74,0.92,0.37
