mean,median,stardard deviation
0.96,0.81,0.67
1.04,1.21,0.69
34.03,46.5,17.3
1.31,1.34,0.43
1.43,1.53,0.6
1.03,1.16,0.35
0.89,1.03,0.32
0.87,1.13,0.5
0.84,1.05,0.43
0.91,1.14,0.48
0.99,1.09,0.37
0.96,1.05,0.44
2.24,1.44,1.61
1.11,1.2,0.42
1.84,1.47,0.98
1.21,1.14,0.4
1.14,1.25,0.35
1.13,1.26,0.36
1.16,1.08,0.36
2.21,1.78,1.41
2.83,1.87,2.35
1.81,2.11,0.56
1.03,1.11,0.34
1.09,1.31,0.48
1.14,1.25,0.39
1.02,1.18,0.36
1.04,1.19,0.37
1.05,1.07,0.32
1.16,1.25,0.38
1.1,1.04,0.53
16.44,19.73,6.17
3.47,3.32,1.95
1.2,1.28,0.31
2.37,2.11,1.36
1.14,1.22,0.4
1.71,1.27,1.26
21.17,18.28,23.57
24.51,2.41,55.31
3.83,2.36,2.69
1.23,1.22,0.39
0.9,1.01,0.32
1.21,1.33,0.37
0.94,1.0,0.39
2.69,1.52,1.9
1.23,1.37,0.38
2.67,1.46,1.87
1.71,1.31,0.95
2.15,1.37,1.55
2.83,1.37,2.73
1.18,1.32,0.4
1.32,1.32,0.32
1.19,1.25,0.35
1.14,1.29,0.38
1.31,1.34,0.31
1.06,1.19,0.34
1.29,1.4,0.48
0.89,0.99,0.31
1.0,1.11,0.33
0.95,1.04,0.33
0.95,1.03,0.32
0.94,1.01,0.31
0.86,1.09,0.37
0.86,1.04,0.38
0.9,1.17,0.45
3.38,4.32,2.86
3.96,4.53,1.99
2.16,2.14,0.84
6.27,5.43,3.02
10.52,6.47,8.94
4.31,4.67,2.49
3.98,4.81,1.96
2.55,3.08,1.48
8.47,5.76,6.57
3.6,5.17,2.44
3.36,4.33,2.26
3.47,4.3,2.45
100.52,5.76,191.85
8.0,5.65,9.88
3.49,4.41,2.25
3.88,4.89,2.6
3.47,4.55,2.25
3.97,5.11,2.8
3.11,4.39,2.57
1.16,1.25,0.39
3.39,4.49,2.57
3.5,4.47,2.33
1.94,1.68,1.12
4.29,4.97,2.14
4.75,5.71,2.23
0.94,1.04,0.3
2.27,2.47,1.34
0.97,1.06,0.39
1.41,1.55,0.61
0.78,0.86,0.31
0.67,0.68,0.44
1.12,1.22,0.45
1.66,1.57,0.55
1.46,1.39,0.47
1.44,1.37,0.45
1.03,1.3,0.46
1.14,1.23,0.4
0.75,0.92,0.37
