mean,median,stardard deviation
0.93,1.11,0.63
0.95,1.18,0.63
1.0,1.09,0.31
1.19,1.23,0.41
1.33,1.41,0.55
0.91,1.03,0.31
0.79,0.91,0.28
0.77,1.0,0.43
0.74,0.92,0.38
0.81,1.01,0.41
0.87,0.97,0.33
0.85,0.92,0.38
2.01,1.29,1.41
0.96,1.05,0.36
1.66,1.26,0.92
1.07,1.0,0.36
1.02,1.12,0.29
0.99,1.11,0.32
1.01,0.95,0.31
2.16,1.63,1.43
2.73,1.69,2.21
1.62,1.85,0.52
0.9,1.0,0.3
0.96,1.16,0.42
1.0,1.11,0.35
0.89,1.01,0.32
0.91,1.03,0.33
0.93,0.95,0.28
1.0,1.08,0.32
0.98,0.92,0.48
0.76,0.85,0.27
2.94,2.83,1.23
0.98,1.11,0.32
2.54,2.04,1.15
1.12,1.08,0.34
1.65,1.16,1.07
8.19,1.62,18.87
23.78,2.56,53.48
3.53,2.12,2.47
1.08,1.06,0.33
0.82,0.91,0.29
1.06,1.19,0.33
0.83,0.88,0.35
2.3,1.34,1.67
1.09,1.21,0.33
2.53,1.34,1.82
1.57,1.2,0.88
1.87,1.19,1.32
2.58,1.21,2.51
1.02,1.14,0.36
1.16,1.15,0.28
1.05,1.12,0.3
1.01,1.14,0.34
1.17,1.18,0.28
0.93,1.03,0.3
1.13,1.24,0.42
0.79,0.88,0.28
0.89,1.0,0.29
0.83,0.92,0.29
0.84,0.92,0.28
0.82,0.9,0.27
0.77,0.97,0.33
0.76,0.93,0.34
0.79,1.04,0.39
3.3,4.83,2.7
3.99,4.34,2.28
2.35,2.38,0.8
6.57,6.08,2.4
9.93,5.53,8.83
4.22,4.61,2.55
3.83,4.81,1.99
2.57,2.94,1.46
8.59,6.3,6.08
3.21,4.32,2.24
3.38,4.3,2.28
3.55,4.31,2.53
107.67,6.22,206.81
7.86,5.4,9.87
3.56,4.57,2.39
3.86,4.98,2.44
3.45,4.51,2.22
3.52,4.49,2.28
3.29,4.8,2.67
1.02,1.09,0.34
3.31,4.5,2.52
3.51,4.49,2.29
2.02,2.28,0.98
4.42,5.05,2.0
4.39,4.55,1.92
0.88,0.93,0.25
2.05,2.38,1.32
0.85,0.93,0.35
1.32,1.47,0.59
0.7,0.78,0.28
0.59,0.6,0.38
1.0,1.07,0.41
1.47,1.4,0.53
1.31,1.23,0.43
1.28,1.21,0.4
0.91,1.14,0.4
1.0,1.09,0.35
0.65,0.8,0.32
