mean,median,stardard deviation
1.01,1.14,0.69
1.04,1.22,0.7
34.26,47.13,17.37
1.12,1.28,0.42
1.41,1.45,0.6
1.02,1.16,0.34
0.9,1.01,0.31
0.88,1.14,0.47
0.84,1.06,0.44
0.92,1.16,0.47
0.99,1.12,0.37
0.97,1.05,0.45
2.18,1.4,1.65
1.09,1.2,0.43
1.81,1.47,0.95
1.2,1.13,0.39
1.14,1.24,0.36
1.12,1.25,0.36
1.15,1.11,0.35
2.3,1.75,1.52
2.77,1.88,2.23
1.79,2.01,0.57
1.03,1.1,0.35
1.08,1.3,0.48
1.13,1.25,0.4
1.01,1.17,0.37
1.04,1.18,0.38
1.09,1.09,0.36
1.15,1.25,0.37
1.09,1.01,0.53
16.76,20.69,6.19
3.16,2.87,1.35
1.2,1.29,0.31
2.49,2.16,1.47
1.13,1.23,0.39
1.85,1.33,1.19
20.72,17.38,23.42
25.17,2.31,57.19
3.43,2.35,2.04
1.09,1.05,0.42
0.89,1.01,0.31
1.21,1.34,0.37
0.96,1.02,0.4
2.85,1.47,2.08
1.23,1.38,0.37
2.66,1.56,1.83
1.65,1.35,0.89
2.09,1.33,1.49
2.7,1.3,2.85
1.16,1.28,0.41
1.31,1.33,0.3
1.18,1.25,0.34
1.13,1.25,0.38
1.3,1.35,0.31
1.06,1.16,0.35
1.29,1.39,0.48
0.9,0.97,0.31
1.01,1.13,0.33
0.93,1.04,0.33
0.95,1.04,0.31
0.93,1.01,0.31
0.87,1.11,0.39
0.87,1.05,0.4
0.9,1.18,0.45
3.92,5.31,3.3
4.0,4.34,1.87
2.12,2.1,0.97
6.31,6.31,2.13
10.64,5.5,10.16
3.85,4.53,2.27
4.39,4.86,2.26
2.39,2.13,1.39
8.44,6.38,6.06
3.52,4.66,2.38
3.25,4.31,2.2
3.45,4.33,2.39
99.04,5.95,189.74
7.8,5.32,10.04
3.76,4.7,2.49
3.49,4.52,2.25
3.73,4.54,2.49
3.92,4.55,2.55
3.23,4.4,2.65
1.17,1.23,0.41
3.58,5.02,2.6
3.57,4.49,2.24
1.98,2.07,1.06
4.48,5.13,2.12
4.38,5.27,2.23
0.99,1.04,0.29
2.18,2.13,1.4
0.95,1.04,0.38
1.45,1.63,0.64
0.78,0.85,0.3
0.68,0.68,0.42
1.12,1.21,0.45
1.66,1.62,0.55
1.45,1.38,0.47
1.43,1.37,0.45
1.02,1.27,0.45
1.14,1.23,0.39
0.74,0.91,0.38
