mean,median,stardard deviation
1.05,1.3,0.7
1.04,1.21,0.69
34.29,46.26,17.14
1.25,1.36,0.37
1.42,1.38,0.6
1.03,1.16,0.34
0.9,0.99,0.33
0.87,1.13,0.5
0.84,1.04,0.43
0.92,1.13,0.48
1.0,1.14,0.38
0.97,1.04,0.44
2.21,1.43,1.56
1.12,1.19,0.44
1.78,1.43,0.96
1.23,1.15,0.42
1.14,1.25,0.36
1.13,1.26,0.36
1.14,1.08,0.35
2.46,1.81,1.56
2.71,1.85,2.25
1.65,1.77,0.65
1.03,1.12,0.34
1.09,1.29,0.47
1.13,1.24,0.39
1.01,1.17,0.37
1.06,1.19,0.38
1.06,1.07,0.32
1.14,1.25,0.37
1.1,1.04,0.54
16.33,19.97,6.76
3.38,3.11,1.67
1.2,1.32,0.3
2.66,2.26,1.51
1.25,1.21,0.37
1.89,1.3,1.25
21.36,17.64,24.47
23.97,2.47,53.83
3.5,2.45,2.36
1.21,1.2,0.37
0.9,1.01,0.31
1.2,1.33,0.38
0.95,1.02,0.4
2.8,1.59,1.98
1.24,1.39,0.38
2.65,1.56,1.82
1.82,1.38,0.97
2.04,1.37,1.42
2.84,1.37,2.87
1.16,1.29,0.41
1.32,1.3,0.33
1.16,1.24,0.33
1.14,1.26,0.39
1.32,1.35,0.33
1.05,1.17,0.34
1.3,1.41,0.48
0.9,1.0,0.32
1.0,1.11,0.32
0.95,1.06,0.34
0.97,1.1,0.33
0.94,1.01,0.31
0.88,1.09,0.38
0.86,1.04,0.38
0.9,1.16,0.46
3.43,4.33,2.9
3.93,4.73,2.08
2.27,2.31,0.92
6.29,5.82,2.25
10.31,5.52,10.03
3.94,4.7,2.23
4.37,4.82,2.4
2.74,2.7,1.54
8.37,5.94,6.46
3.48,4.32,2.5
3.57,4.66,2.39
3.62,4.31,2.56
100.87,5.82,190.86
8.23,5.95,10.49
3.53,4.72,2.07
3.52,4.55,2.27
4.2,5.23,2.48
3.8,4.51,2.68
3.33,4.73,2.7
1.05,1.21,0.34
3.45,4.48,2.59
3.8,4.47,2.62
2.0,2.08,0.98
4.47,5.04,2.27
4.69,5.06,2.05
0.99,1.05,0.29
2.21,2.55,1.3
0.97,1.04,0.4
1.37,1.27,0.6
0.78,0.86,0.31
0.67,0.68,0.43
1.13,1.21,0.46
1.63,1.57,0.54
1.46,1.39,0.47
1.45,1.37,0.45
1.05,1.3,0.46
1.14,1.26,0.39
0.73,0.9,0.37
