mean,median,stardard deviation
0.95,1.2,0.63
0.93,1.1,0.63
0.99,1.09,0.3
1.19,1.22,0.4
1.31,1.4,0.56
0.9,1.01,0.3
0.79,0.91,0.28
0.75,0.91,0.43
0.74,0.93,0.38
0.8,1.0,0.41
0.88,0.98,0.31
0.86,0.93,0.39
2.01,1.28,1.39
0.97,1.05,0.38
1.62,1.27,0.91
1.07,1.0,0.36
1.01,1.11,0.32
1.0,1.12,0.29
1.01,0.95,0.31
2.21,1.64,1.43
2.71,1.69,2.25
1.62,1.87,0.52
0.9,0.99,0.3
0.97,1.16,0.42
1.0,1.11,0.35
0.88,1.03,0.32
0.92,1.03,0.33
0.93,0.94,0.28
1.02,1.11,0.33
0.97,0.92,0.49
0.76,0.86,0.27
3.12,3.29,1.56
0.91,0.93,0.25
2.52,2.05,1.19
1.12,1.08,0.34
1.58,1.08,1.13
7.96,1.64,18.38
23.26,2.56,52.93
3.28,2.14,2.33
1.09,1.07,0.34
0.8,0.89,0.27
1.07,1.18,0.33
0.83,0.89,0.34
2.4,1.19,1.78
1.09,1.23,0.33
2.42,1.36,1.71
1.61,1.2,0.93
1.92,1.2,1.41
2.68,1.22,2.64
1.03,1.13,0.36
1.16,1.16,0.28
1.04,1.12,0.29
1.01,1.12,0.33
1.16,1.19,0.27
0.93,1.03,0.3
1.13,1.23,0.42
0.8,0.88,0.28
0.88,1.0,0.29
0.83,0.93,0.3
0.85,0.93,0.28
0.82,0.89,0.27
0.77,0.97,0.33
0.76,0.93,0.33
0.79,1.01,0.39
3.31,4.33,2.74
3.77,4.3,1.93
2.15,1.97,0.89
6.09,6.23,2.16
10.75,6.44,9.41
4.23,4.67,2.46
4.04,5.08,1.91
2.61,2.91,1.44
8.5,5.97,6.44
3.37,4.35,2.41
3.37,4.33,2.26
3.1,4.31,2.11
103.79,6.59,193.77
7.97,5.34,10.15
3.43,4.51,2.28
3.5,4.58,2.31
3.83,4.56,2.5
3.53,4.54,2.38
3.49,5.41,2.86
0.98,1.07,0.34
3.31,4.5,2.51
3.61,4.5,2.39
2.03,2.08,0.98
4.39,5.23,2.12
4.31,4.89,2.02
0.88,0.93,0.24
1.68,1.71,1.14
0.86,0.94,0.34
1.35,1.46,0.59
0.69,0.76,0.27
0.59,0.62,0.38
0.99,1.07,0.41
1.46,1.39,0.53
1.32,1.24,0.45
1.28,1.2,0.41
0.94,1.14,0.43
1.01,1.08,0.36
0.66,0.81,0.33
