project;merge commit;class;method;result_sdg;result_sa;is_equal
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestShardsAction;getTableWithHeader;TRUE NEGATIVE;TRUE NEGATIVE;True
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;NestedInnerQueryParseSupport;setPathLevel;TRUE NEGATIVE;FALSE POSITIVE;False
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;MultiMatchQueryBuilder;doXContent;FALSE NEGATIVE;FALSE NEGATIVE;True
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactoryTest;setUp;TRUE POSITIVE;FALSE NEGATIVE;False
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactory;SlimTableFactory;TRUE POSITIVE;TRUE POSITIVE;True
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;SlangImpl;getAllEventTypes;TRUE POSITIVE;FALSE NEGATIVE;False
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchiveTests;getUrl;TRUE NEGATIVE;TRUE NEGATIVE;True
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchive;getUrl;TRUE NEGATIVE;TRUE NEGATIVE;True
spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;UndertowEmbeddedServletContainerFactory;createDeploymentManager;TRUE NEGATIVE;TRUE NEGATIVE;True
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;SpringBootServletInitializer;createRootApplicationContext;TRUE NEGATIVE;TRUE NEGATIVE;True
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;SpringBootServletInitializer;createRootApplicationContext;TRUE NEGATIVE;FALSE POSITIVE;False
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport;FALSE NEGATIVE;FALSE NEGATIVE;True
quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;OutOfTimeCrossValidatorRunner;getRandomForestBuilder;TRUE NEGATIVE;TRUE NEGATIVE;True
