mean,median,stardard deviation
0.88,0.8,0.65
0.87,0.82,0.64
30.2,45.24,19.16
1.1,1.2,0.35
1.29,1.08,0.52
0.87,1.01,0.29
0.79,0.86,0.26
0.69,0.7,0.44
0.7,0.83,0.38
0.73,0.98,0.4
0.84,0.82,0.3
0.84,0.71,0.37
1.55,1.29,1.02
0.92,0.72,0.42
1.39,1.18,0.79
0.96,0.97,0.31
0.96,1.08,0.3
0.95,1.06,0.3
0.9,0.95,0.29
1.63,1.59,1.09
1.96,1.66,1.51
1.43,1.43,0.62
0.74,0.96,0.34
0.89,1.16,0.42
1.01,1.19,0.33
0.84,1.03,0.31
0.87,1.02,0.31
0.87,0.92,0.25
0.97,1.1,0.3
0.81,0.91,0.39
14.53,19.17,7.03
2.71,2.79,1.45
1.0,1.17,0.28
2.01,2.0,0.72
0.99,1.06,0.32
1.26,1.08,0.79
15.65,16.74,19.79
14.89,2.37,54.33
2.5,2.03,1.67
0.93,1.05,0.33
0.79,0.86,0.25
1.03,1.18,0.32
0.82,0.75,0.33
2.03,1.29,1.48
1.01,1.15,0.32
1.99,1.24,1.48
1.23,1.14,0.58
1.43,1.14,0.98
2.5,1.22,2.87
0.97,1.0,0.35
1.05,1.16,0.29
0.99,1.11,0.28
0.98,1.12,0.31
1.16,1.19,0.46
0.92,1.03,0.27
1.1,0.92,0.45
0.78,0.79,0.26
0.88,1.0,0.26
0.82,0.87,0.27
0.82,0.89,0.26
0.79,0.81,0.26
0.74,0.97,0.34
0.73,0.87,0.35
0.74,0.88,0.4
2.98,4.3,2.64
3.35,4.76,2.2
1.88,1.84,0.98
5.01,5.55,2.6
6.32,5.37,6.59
3.62,4.18,2.53
3.44,4.16,2.3
2.22,2.24,1.33
5.67,5.5,4.85
3.12,3.93,2.45
3.21,3.93,2.33
3.13,4.32,2.35
46.61,5.9,137.19
5.43,4.81,7.25
3.19,3.98,2.39
3.34,4.13,2.41
3.32,4.28,2.25
3.29,4.12,2.38
3.04,4.39,2.72
0.92,1.05,0.28
3.24,4.14,2.58
3.36,4.89,2.54
1.93,1.97,1.06
1.81,1.62,1.11
1.93,1.98,1.14
0.83,0.93,0.24
2.0,1.92,1.31
0.84,0.76,0.33
1.22,1.04,0.62
0.69,0.68,0.25
0.56,0.31,0.39
0.97,0.85,0.39
1.21,1.34,0.47
1.07,1.17,0.4
1.06,1.16,0.39
0.84,1.08,0.41
0.95,0.88,0.36
0.62,0.68,0.33
