mean,median,stardard deviation
2.09,1.32,1.67
2.14,1.34,1.75
86.35,111.8,46.11
2.65,2.84,1.06
2.88,2.83,1.47
2.04,2.15,0.87
1.82,1.84,0.85
1.62,1.92,1.01
1.59,1.66,0.99
1.61,1.87,1.02
1.94,1.88,0.88
2.12,1.88,1.05
3.8,3.19,2.55
2.07,1.89,1.17
3.01,2.81,1.63
2.28,2.15,1.03
2.13,1.87,0.94
2.2,2.22,0.87
1.99,1.98,0.79
4.04,3.38,2.95
4.89,3.7,4.45
3.14,3.4,1.42
1.74,1.8,0.92
2.05,2.31,1.17
2.04,2.16,0.84
1.66,1.85,0.69
1.75,1.92,0.8
2.03,2.16,0.71
2.24,2.27,0.92
1.95,1.91,0.93
45.46,50.9,11.89
7.13,7.81,4.17
2.37,2.46,0.97
5.17,4.7,2.1
2.17,2.23,0.73
2.88,2.33,1.86
48.38,42.02,81.88
57.02,6.18,222.98
6.81,4.49,5.52
2.1,2.28,0.86
1.85,1.91,0.81
2.37,2.48,0.85
2.01,2.0,1.05
4.89,3.6,3.7
2.3,2.41,0.86
4.69,3.1,3.32
2.8,2.52,1.43
3.47,2.67,2.45
6.06,2.92,7.02
1.87,1.85,0.8
2.13,1.98,0.86
2.26,2.3,0.81
2.3,2.47,0.97
2.84,3.03,1.02
2.31,2.22,1.05
2.6,2.23,1.19
1.81,1.89,0.78
2.01,2.17,0.86
1.99,1.95,0.88
1.92,1.98,0.9
1.82,1.87,0.79
1.68,1.6,0.95
1.7,1.73,0.98
1.86,1.97,1.1
7.37,10.9,6.39
8.53,11.1,5.3
4.79,5.03,2.36
13.55,13.0,7.28
18.97,12.75,25.13
8.96,11.46,6.01
8.56,11.5,5.58
4.66,4.62,2.82
14.01,12.2,16.08
7.69,10.33,5.75
7.99,10.68,5.4
7.75,10.75,5.69
149.43,11.71,550.95
5.62,5.24,7.09
3.63,4.96,2.69
3.44,4.16,2.53
3.43,4.18,2.39
3.7,4.47,2.66
3.24,4.87,2.91
1.13,1.23,0.33
3.4,4.12,2.73
3.19,4.1,2.41
2.08,2.05,1.14
2.06,2.18,1.22
2.04,1.74,1.26
0.92,1.04,0.27
2.14,1.76,1.43
0.94,0.89,0.35
1.33,1.29,0.65
0.77,0.77,0.28
0.62,0.34,0.43
1.09,0.99,0.44
1.36,1.51,0.52
1.2,1.29,0.45
1.19,1.28,0.43
0.95,1.23,0.46
1.06,1.0,0.4
0.69,0.76,0.37
