mean,median,stardard deviation
0.85,0.73,0.63
0.87,0.73,0.64
29.99,45.28,19.28
1.11,1.21,0.35
1.28,1.08,0.52
0.87,1.0,0.29
0.78,0.86,0.25
0.7,0.78,0.44
0.7,0.84,0.38
0.74,0.99,0.41
0.84,0.83,0.3
0.83,0.7,0.36
1.59,1.34,1.0
0.93,0.74,0.42
1.37,1.19,0.72
0.96,0.97,0.3
0.96,1.07,0.3
0.94,1.05,0.3
0.9,0.95,0.29
1.6,1.59,1.0
1.95,1.62,1.63
1.42,1.37,0.59
0.74,0.94,0.34
0.91,1.16,0.43
1.01,1.19,0.33
0.84,1.03,0.31
0.87,1.02,0.32
0.87,0.91,0.25
0.96,1.1,0.31
0.81,0.9,0.39
14.54,19.56,6.81
2.66,2.79,1.37
1.0,1.15,0.28
2.12,2.05,0.88
0.99,1.07,0.32
1.26,1.08,0.79
15.85,16.9,20.51
14.85,2.48,53.03
2.66,2.13,1.81
0.91,1.03,0.33
0.79,0.88,0.25
1.02,1.18,0.31
0.81,0.72,0.33
2.09,1.21,1.6
1.06,1.22,0.3
2.03,1.21,1.49
1.28,1.14,0.66
1.49,1.15,1.03
2.36,1.16,2.77
0.94,0.98,0.35
1.05,1.15,0.29
0.99,1.11,0.28
0.98,1.13,0.31
1.15,1.19,0.44
0.91,0.99,0.27
1.1,1.0,0.44
0.78,0.81,0.26
0.88,0.99,0.25
0.82,0.88,0.27
0.83,0.88,0.27
0.8,0.83,0.26
0.74,0.97,0.35
0.72,0.87,0.35
0.74,0.87,0.4
2.86,3.87,2.5
3.41,4.36,2.23
2.01,1.84,1.11
4.97,5.3,2.23
6.27,4.87,6.92
3.62,4.2,2.43
3.48,4.14,2.31
2.26,2.27,1.38
5.44,5.17,4.97
3.17,3.92,2.48
3.29,4.32,2.36
3.18,4.64,2.39
49.08,6.12,145.57
5.46,4.79,7.35
3.32,4.2,2.44
3.45,4.48,2.5
3.57,4.52,2.41
3.38,4.52,2.46
2.92,4.0,2.57
0.98,1.08,0.29
3.23,4.42,2.57
3.38,4.47,2.57
1.85,1.94,1.03
1.85,1.98,1.11
1.91,1.63,1.15
0.83,0.93,0.24
1.95,1.96,1.26
0.84,0.76,0.32
1.24,1.08,0.61
0.69,0.68,0.25
0.55,0.3,0.39
0.97,0.86,0.38
1.2,1.35,0.47
1.07,1.18,0.41
1.06,1.15,0.38
0.83,1.05,0.4
0.94,0.86,0.35
0.62,0.69,0.33
