mean,median,stardard deviation
0.87,0.82,0.64
0.86,0.73,0.64
30.09,45.54,19.22
1.1,1.2,0.36
1.28,1.08,0.52
0.86,0.97,0.28
0.78,0.88,0.25
0.71,0.79,0.43
0.7,0.84,0.38
0.74,1.0,0.4
0.83,0.74,0.31
0.83,0.68,0.36
1.59,1.3,1.02
0.92,0.75,0.41
1.42,1.19,0.77
0.95,0.96,0.3
0.95,1.06,0.3
0.94,1.06,0.3
0.9,0.95,0.29
1.63,1.6,1.06
1.92,1.64,1.57
1.43,1.43,0.6
0.74,0.93,0.34
0.89,1.14,0.42
1.01,1.19,0.33
0.84,1.04,0.32
0.87,1.04,0.32
0.87,0.91,0.25
0.96,1.1,0.3
0.82,0.91,0.4
14.64,19.23,6.86
2.59,2.8,1.38
1.0,1.15,0.28
2.08,2.03,0.87
0.98,1.07,0.32
1.23,1.07,0.79
15.76,16.55,20.42
14.56,2.24,52.63
2.61,2.02,1.8
0.93,1.06,0.33
0.78,0.87,0.25
1.02,1.16,0.31
0.81,0.71,0.33
1.99,1.24,1.42
1.06,1.21,0.3
2.01,1.25,1.41
1.28,1.13,0.68
1.4,1.13,1.0
2.55,1.21,2.92
0.98,1.02,0.33
1.06,1.16,0.29
0.99,1.12,0.28
0.98,1.13,0.31
1.16,1.18,0.45
0.91,0.97,0.27
1.1,0.93,0.44
0.78,0.8,0.26
0.88,1.0,0.26
0.81,0.87,0.26
0.83,0.91,0.26
0.8,0.8,0.26
0.74,0.97,0.34
0.73,0.86,0.35
0.74,0.89,0.4
2.93,4.29,2.57
3.42,4.11,2.29
2.01,1.76,1.08
4.86,5.2,2.28
6.4,5.07,6.81
3.5,4.61,2.45
3.53,4.46,2.31
2.21,2.1,1.38
5.59,5.45,4.83
3.17,4.32,2.46
3.23,3.9,2.34
3.15,3.91,2.41
45.66,5.75,133.78
5.51,4.94,7.42
3.27,4.72,2.33
3.39,4.17,2.43
3.54,4.53,2.52
3.37,4.15,2.47
3.12,4.41,2.76
0.97,1.08,0.3
3.16,4.52,2.5
3.23,4.51,2.46
1.84,1.96,1.02
1.94,1.97,1.15
1.84,1.63,1.11
0.83,0.92,0.24
2.05,1.95,1.32
0.85,0.81,0.32
1.25,1.14,0.6
0.69,0.67,0.25
0.56,0.33,0.39
0.97,0.87,0.38
1.21,1.36,0.48
1.08,1.18,0.41
1.06,1.16,0.39
0.84,1.1,0.41
0.95,0.87,0.36
0.62,0.68,0.33
