mean,median,stardard deviation
0.87,0.82,0.64
0.87,0.74,0.64
30.17,45.17,19.19
1.11,1.2,0.35
1.28,1.08,0.53
0.87,0.99,0.28
0.78,0.88,0.25
0.7,0.79,0.44
0.7,0.82,0.38
0.74,1.0,0.4
0.83,0.77,0.31
0.84,0.7,0.36
1.6,1.41,1.02
0.93,0.82,0.42
1.39,1.18,0.75
0.96,0.97,0.3
0.96,1.07,0.29
0.94,1.05,0.3
0.9,0.96,0.29
1.64,1.6,1.03
1.92,1.64,1.46
1.46,1.6,0.61
0.74,0.94,0.34
0.9,1.16,0.42
1.01,1.18,0.33
0.85,1.03,0.31
0.87,1.04,0.32
0.88,0.92,0.25
0.96,1.1,0.3
0.81,0.91,0.39
14.68,19.2,6.86
2.71,2.77,1.37
1.0,1.16,0.28
1.92,1.96,0.82
0.98,1.07,0.31
1.27,1.08,0.8
15.99,16.71,21.14
14.75,2.44,52.45
2.53,2.03,1.81
0.94,1.06,0.34
0.8,0.86,0.25
1.02,1.17,0.32
0.82,0.74,0.33
2.09,1.22,1.56
1.06,1.22,0.3
2.0,1.2,1.51
1.3,1.15,0.7
1.48,1.15,1.04
2.51,1.22,2.92
0.96,0.99,0.34
1.06,1.15,0.29
0.99,1.11,0.28
0.99,1.12,0.31
1.16,1.19,0.45
0.91,0.98,0.27
1.09,0.88,0.46
0.78,0.79,0.26
0.88,1.0,0.25
0.82,0.87,0.27
0.83,0.92,0.26
0.79,0.8,0.26
0.74,0.97,0.34
0.73,0.86,0.35
0.74,0.9,0.4
2.91,3.87,2.6
3.42,3.94,2.34
2.12,2.17,1.08
4.96,5.15,2.26
6.24,5.22,6.68
3.74,4.57,2.62
3.55,4.52,2.35
2.23,1.9,1.37
5.75,5.41,4.97
3.13,4.34,2.43
3.2,3.92,2.33
3.24,4.32,2.51
45.68,5.63,134.49
5.58,5.05,7.62
3.21,3.96,2.45
3.61,4.78,2.63
3.52,4.53,2.48
3.36,4.13,2.44
2.97,4.0,2.64
0.99,1.09,0.29
3.21,4.51,2.52
3.21,4.05,2.46
1.91,1.69,1.04
1.82,1.3,1.15
1.77,1.62,1.1
0.83,0.92,0.24
1.95,1.92,1.28
0.85,0.79,0.33
1.24,1.09,0.6
0.69,0.66,0.25
0.56,0.3,0.39
0.97,0.86,0.39
1.21,1.34,0.47
1.09,1.19,0.41
1.06,1.15,0.38
0.83,1.06,0.41
0.95,0.87,0.36
0.62,0.69,0.33
