mean,median,stardard deviation
0.87,0.8,0.64
0.87,0.81,0.65
30.03,45.31,19.26
1.05,1.2,0.35
1.29,1.1,0.52
0.86,0.98,0.28
0.78,0.87,0.25
0.7,0.8,0.44
0.7,0.81,0.38
0.73,0.99,0.4
0.83,0.75,0.31
0.83,0.7,0.36
1.6,1.32,1.05
0.93,0.73,0.41
1.38,1.19,0.73
0.95,0.97,0.3
0.95,1.07,0.3
0.94,1.06,0.3
0.9,0.95,0.29
1.6,1.57,1.05
2.0,1.62,1.71
1.43,1.43,0.61
0.73,0.9,0.34
0.9,1.16,0.42
1.01,1.19,0.32
0.84,1.04,0.31
0.87,1.03,0.32
0.87,0.92,0.25
0.95,1.08,0.3
0.81,0.9,0.39
14.66,19.52,6.96
2.68,2.74,1.42
0.99,1.14,0.28
2.05,2.02,0.87
0.97,1.08,0.32
1.25,1.08,0.81
15.72,16.66,20.32
14.78,2.28,54.23
2.47,2.1,1.51
0.92,1.05,0.34
0.78,0.87,0.25
1.03,1.17,0.32
0.81,0.7,0.33
2.03,1.24,1.5
0.98,1.12,0.34
2.05,1.25,1.5
1.25,1.13,0.7
1.5,1.14,1.08
2.37,1.2,2.73
0.97,1.0,0.32
1.05,1.16,0.29
0.99,1.11,0.28
0.98,1.12,0.31
1.16,1.19,0.44
0.91,0.96,0.27
1.1,1.05,0.43
0.78,0.79,0.26
0.88,0.99,0.26
0.82,0.85,0.27
0.82,0.92,0.27
0.8,0.8,0.26
0.74,0.97,0.34
0.73,0.87,0.35
0.74,0.87,0.4
2.88,3.89,2.59
3.2,3.88,2.19
2.14,2.22,1.08
4.93,5.37,2.28
6.46,5.07,7.13
3.53,4.47,2.47
3.52,4.71,2.32
2.25,2.16,1.35
5.63,5.57,4.86
3.02,3.91,2.32
3.11,4.27,2.27
3.02,3.92,2.34
46.82,5.71,135.55
5.6,4.74,7.69
3.3,3.97,2.46
3.37,4.48,2.43
3.4,4.33,2.36
3.3,4.82,2.31
2.97,4.8,2.6
0.96,1.09,0.3
3.09,4.07,2.44
3.03,4.04,2.29
1.89,1.61,1.07
1.78,1.97,1.07
1.88,1.62,1.15
0.82,0.92,0.24
1.95,1.61,1.32
0.83,0.77,0.32
1.24,1.11,0.6
0.69,0.69,0.25
0.55,0.31,0.39
0.97,0.86,0.39
1.2,1.34,0.46
1.08,1.18,0.41
1.06,1.15,0.38
0.84,1.06,0.41
0.95,0.87,0.35
0.62,0.67,0.33
