mean,median,stardard deviation
0.84,0.73,0.63
0.88,0.89,0.64
29.89,45.46,19.19
1.08,1.2,0.36
1.27,1.09,0.52
0.86,0.98,0.29
0.79,0.88,0.26
0.69,0.71,0.44
0.7,0.83,0.38
0.73,0.98,0.4
0.83,0.72,0.31
0.83,0.69,0.36
1.6,1.41,1.11
0.93,0.79,0.41
1.39,1.19,0.74
0.95,0.96,0.29
0.96,1.07,0.31
0.95,1.04,0.3
0.9,0.95,0.29
1.59,1.57,1.03
1.96,1.65,1.47
1.47,1.59,0.6
0.74,0.93,0.34
0.89,1.16,0.43
1.01,1.19,0.33
0.84,1.02,0.31
0.86,1.03,0.32
0.87,0.91,0.25
0.96,1.09,0.3
0.82,0.91,0.4
14.57,19.01,6.96
2.57,2.78,1.39
1.0,1.16,0.28
2.18,2.06,0.92
0.98,1.07,0.32
1.3,1.09,0.84
15.94,17.05,20.6
14.38,2.27,52.03
2.58,2.06,1.65
0.92,1.05,0.34
0.79,0.86,0.25
1.03,1.17,0.32
0.81,0.72,0.33
2.05,1.21,1.63
1.05,1.22,0.31
1.99,1.21,1.48
1.26,1.13,0.71
1.44,1.14,0.97
2.3,1.17,2.64
0.98,1.03,0.33
1.06,1.15,0.29
1.0,1.1,0.28
0.99,1.12,0.31
1.16,1.18,0.45
0.91,0.96,0.27
1.11,0.99,0.44
0.78,0.81,0.26
0.87,1.0,0.25
0.82,0.89,0.26
0.82,0.9,0.26
0.8,0.82,0.26
0.74,0.98,0.35
0.72,0.87,0.35
0.73,0.88,0.4
2.99,4.74,2.63
3.55,4.31,2.37
2.05,1.78,1.11
4.81,5.18,2.2
6.08,4.83,6.58
3.6,4.17,2.54
3.47,4.18,2.37
2.16,1.7,1.35
5.72,5.85,4.84
3.2,4.29,2.48
3.17,3.91,2.22
3.29,4.35,2.55
46.27,5.72,134.35
5.46,4.81,7.54
3.15,4.29,2.32
3.29,4.15,2.39
3.47,4.5,2.46
3.48,4.13,2.52
2.97,4.4,2.62
0.98,1.09,0.29
3.3,4.5,2.6
3.28,4.9,2.49
1.87,1.61,1.09
1.84,1.62,1.11
1.87,1.31,1.17
0.82,0.92,0.24
1.95,1.61,1.31
0.84,0.77,0.32
1.24,1.1,0.6
0.69,0.68,0.25
0.55,0.3,0.39
0.97,0.84,0.39
1.21,1.34,0.48
1.08,1.18,0.4
1.05,1.17,0.39
0.84,1.07,0.41
0.95,0.88,0.36
0.62,0.69,0.33
