mean,median,stardard deviation
0.86,0.84,0.63
0.87,0.75,0.64
30.18,45.09,19.12
1.08,1.2,0.36
1.27,1.06,0.53
0.86,0.98,0.28
0.79,0.87,0.25
0.7,0.75,0.44
0.7,0.83,0.38
0.73,1.0,0.4
0.84,0.86,0.31
0.83,0.71,0.37
1.57,1.34,1.03
0.93,0.67,0.43
1.37,1.18,0.73
0.95,0.97,0.3
0.95,1.07,0.29
0.95,1.06,0.3
0.9,0.95,0.28
1.57,1.42,1.05
1.86,1.59,1.57
1.41,1.41,0.62
0.74,0.93,0.34
0.9,1.15,0.42
1.0,1.19,0.33
0.84,1.03,0.31
0.87,1.04,0.32
0.87,0.92,0.25
0.96,1.1,0.3
0.81,0.91,0.39
14.48,19.12,6.76
2.6,2.75,1.47
0.97,1.1,0.3
1.93,1.77,0.94
0.98,1.06,0.32
1.26,1.08,0.81
15.75,16.53,20.6
14.66,2.38,53.19
2.51,2.02,1.68
0.92,1.06,0.34
0.79,0.86,0.25
1.03,1.17,0.32
0.81,0.69,0.33
2.05,1.23,1.52
1.06,1.23,0.31
1.98,1.22,1.41
1.29,1.13,0.72
1.45,1.14,0.99
2.49,1.18,2.9
0.96,0.98,0.35
1.05,1.16,0.29
0.99,1.11,0.28
0.99,1.11,0.31
1.16,1.19,0.44
0.91,0.99,0.27
1.1,0.99,0.43
0.78,0.78,0.26
0.89,0.99,0.26
0.81,0.86,0.26
0.82,0.9,0.27
0.79,0.82,0.26
0.74,0.97,0.34
0.72,0.86,0.35
0.74,0.89,0.4
2.93,3.9,2.61
3.42,4.49,2.22
2.03,1.94,1.01
4.99,5.49,2.23
6.23,5.07,6.57
3.34,4.08,2.32
3.66,4.84,2.43
2.15,2.18,1.33
5.53,5.59,4.92
3.23,4.26,2.51
3.17,3.91,2.27
3.15,3.91,2.44
46.19,5.78,134.44
5.46,4.91,7.64
3.14,3.96,2.35
3.36,4.51,2.41
3.42,4.16,2.4
3.3,4.43,2.36
2.9,4.0,2.56
0.97,1.08,0.28
3.33,4.47,2.62
3.18,4.07,2.44
1.9,1.6,1.07
1.84,1.63,1.14
1.84,1.63,1.13
0.82,0.93,0.24
1.93,1.63,1.3
0.84,0.77,0.32
1.25,1.11,0.61
0.69,0.68,0.25
0.55,0.3,0.39
0.97,0.87,0.38
1.2,1.36,0.47
1.07,1.17,0.41
1.06,1.16,0.39
0.83,1.06,0.4
0.95,0.88,0.36
0.62,0.69,0.33
