mean,median,stardard deviation
0.84,0.82,0.63
0.87,0.82,0.64
30.12,45.09,19.22
1.11,1.22,0.36
1.28,1.09,0.52
0.87,0.98,0.28
0.78,0.87,0.25
0.7,0.71,0.44
0.7,0.84,0.38
0.74,1.0,0.4
0.84,0.87,0.31
0.84,0.72,0.36
1.6,1.38,1.03
0.93,0.79,0.41
1.39,1.19,0.74
0.95,0.97,0.3
0.95,1.08,0.3
0.94,1.06,0.3
0.91,0.96,0.29
1.66,1.59,1.08
1.94,1.64,1.48
1.47,1.58,0.6
0.74,0.96,0.34
0.9,1.15,0.43
1.01,1.19,0.33
0.84,1.02,0.31
0.87,1.03,0.32
0.87,0.92,0.25
0.96,1.09,0.3
0.81,0.91,0.39
14.69,19.08,6.87
2.68,2.76,1.57
1.0,1.16,0.28
2.03,2.03,0.89
0.97,1.07,0.34
1.28,1.09,0.84
15.8,16.59,20.17
14.91,2.47,54.25
2.62,2.06,1.95
0.93,1.07,0.34
0.79,0.85,0.25
1.03,1.17,0.31
0.81,0.72,0.33
2.06,1.24,1.48
1.04,1.21,0.33
1.91,1.23,1.42
1.23,1.14,0.58
1.46,1.15,1.0
2.45,1.18,2.92
0.97,1.02,0.35
1.06,1.16,0.29
0.99,1.12,0.28
0.98,1.12,0.31
1.16,1.19,0.45
0.91,0.98,0.27
1.11,0.9,0.46
0.79,0.79,0.26
0.88,1.0,0.26
0.82,0.86,0.27
0.83,0.89,0.27
0.8,0.82,0.26
0.74,0.97,0.34
0.73,0.87,0.35
0.74,0.89,0.4
2.95,3.9,2.62
3.39,3.95,2.25
2.1,1.94,1.1
5.05,5.43,2.43
6.34,5.47,6.71
3.7,4.93,2.58
3.63,4.47,2.46
2.38,2.57,1.38
5.86,5.73,4.97
3.19,3.92,2.53
3.24,3.94,2.39
3.06,4.29,2.34
46.19,5.89,134.91
5.45,4.79,7.45
3.08,3.96,2.28
3.29,4.15,2.34
3.43,4.34,2.37
3.3,4.51,2.41
2.99,3.98,2.61
0.98,1.09,0.28
3.29,4.09,2.63
3.29,4.46,2.55
1.9,1.64,1.08
1.86,1.63,1.15
1.83,1.62,1.13
0.83,0.92,0.24
2.01,1.93,1.3
0.84,0.77,0.32
1.24,1.09,0.61
0.69,0.71,0.25
0.56,0.31,0.39
0.97,0.88,0.39
1.2,1.34,0.48
1.08,1.18,0.41
1.06,1.16,0.38
0.84,1.08,0.41
0.95,0.88,0.36
0.62,0.68,0.33
