Confluence Intra;Confluence Inter;OA Inter;DFP Intra left-right;DFP Intra right-left;DFP Inter left-right;DFP Inter right-left
82,1838,976,297,159;345,8031,4956,1425,861;167;69,1828,971;10,288,156;281,7984,4935;62,1414,857
8,107,56,91,50;124,1046,598,1042,596;7;5,107,56;3,91,50;62,1040,595;62,1036,593
4,535,317,0,0;19,1110,727,0,0;3202;4,531,315;0,0,0;19,1106,725;0,0,0
4,625,362,0,0;19,1245,817,0,0;4957;4,621,360;0,0,0;19,1241,815;0,0,0
4,499,299,0,0;19,1065,700,0,0;2500;4,495,297;0,0,0;19,1061,698;0,0,0
0,0,0,0,0;0,0,0,0,0;0;0,0,0;0,0,0;0,0,0;0,0,0
2,98,47,98,47;16,178,91,178,91;126;1,89,43;1,89,43;8,169,87;8,169,87
13,48,24,161,74;26,179,98,200,108;10;2,48,24;11,161,74;13,179,98;13,200,108
9,0,0,522,300;64,0,0,1903,1131;0;0,0,0;8,513,296;0,0,0;64,1895,1127
2,128,64,128,64;38,658,375,658,375;3;1,132,66;1,128,64;19,658,375;19,654,373
3,52,26,73,36;32,511,286,513,287;3;1,56,28;2,73,36;16,511,286;16,509,285
3,52,26,73,36;32,511,286,513,287;3;1,56,28;2,73,36;16,511,286;16,509,285
2,126,63,126,63;28,479,268,479,268;3;1,130,65;1,126,63;14,479,268;14,475,266
2,63,31,63,31;16,239,125,239,125;38;1,61,30;1,61,30;8,235,123;8,235,123
2,76,36,76,36;2,76,36,76,36;1;1,76,36;1,76,36;1,76,36;1,76,36
4,74,36,74,36;26,478,300,478,300;1;2,74,36;2,74,36;13,472,297;13,472,297
2,51,25,51,25;2,51,25,51,25;1;1,51,25;1,51,25;1,51,25;1,51,25
0,0,0,0,0;0,0,0,0,0;0;0,0,0;0,0,0;0,0,0;0,0,0
2,126,74,126,74;2,126,74,126,74;1;1,126,74;1,126,74;1,126,74;1,126,74
23,107,58,620,336;130,1122,631,1609,930;3;1,107,58;20,614,334;57,1121,631;73,1608,930
7,92,47,195,96;109,1196,654,1469,819;5;1,92,47;6,195,96;48,1191,652;61,1464,817
9,100,50,191,94;105,1139,623,1410,787;5;3,100,50;6,191,94;46,1134,621;59,1405,785
16,0,0,532,268;22,0,0,700,384;0;0,0,0;16,532,268;0,0,0;22,700,384
3,84,44,89,46;42,346,201,348,202;1;1,84,44;2,89,46;21,346,201;21,348,202
3,38,16,0,0;10,94,48,0,0;12;3,38,16;0,0,0;10,94,48;0,0,0
